year,month,crime_month,major_category,total_crimes
2015,9,01/09/2015,Violence Against the Person,18290
2015,9,01/09/2015,Burglary,5419
2015,9,01/09/2015,Drugs,3363
2015,9,01/09/2015,Robbery,1721
2015,9,01/09/2015,Criminal Damage,4903
2015,10,01/10/2015,Drugs,3618
2015,10,01/10/2015,Robbery,1812
2015,10,01/10/2015,Criminal Damage,5383
2015,10,01/10/2015,Burglary,5941
2015,10,01/10/2015,Other Notifiable Offences,1259
2015,10,01/10/2015,Theft and Handling,24475
2015,10,01/10/2015,Violence Against the Person,19873
2015,11,01/11/2015,Criminal Damage,5435
2015,11,01/11/2015,Drugs,3231
2015,11,01/11/2015,Violence Against the Person,19259
2015,11,01/11/2015,Other Notifiable Offences,1196
2015,11,01/11/2015,Theft and Handling,24719
2015,11,01/11/2015,Burglary,6783
2015,11,01/11/2015,Robbery,1864
2015,12,01/12/2015,Burglary,6458
2015,12,01/12/2015,Other Notifiable Offences,1154
2015,12,01/12/2015,Violence Against the Person,19081
2015,12,01/12/2015,Criminal Damage,5396
2015,12,01/12/2015,Drugs,3039
2015,12,01/12/2015,Theft and Handling,23956
2015,12,01/12/2015,Robbery,1756
2016,1,01/01/2016,Burglary,6302
2016,1,01/01/2016,Robbery,1810
2016,1,01/01/2016,Criminal Damage,5049
2016,1,01/01/2016,Violence Against the Person,18266
2016,1,01/01/2016,Other Notifiable Offences,1276
2016,1,01/01/2016,Theft and Handling,22316
2016,1,01/01/2016,Drugs,3828
2016,2,01/02/2016,Burglary,5841
2016,2,01/02/2016,Robbery,1646
2016,2,01/02/2016,Criminal Damage,5010
2016,2,01/02/2016,Drugs,3397
2016,2,01/02/2016,Other Notifiable Offences,1133
2016,2,01/02/2016,Violence Against the Person,17642
2016,2,01/02/2016,Theft and Handling,22028
2016,3,01/03/2016,Theft and Handling,23117
2016,3,01/03/2016,Robbery,1711
2016,3,01/03/2016,Violence Against the Person,18863
2016,3,01/03/2016,Criminal Damage,5092
2016,3,01/03/2016,Drugs,3324
2016,3,01/03/2016,Burglary,5804
2016,3,01/03/2016,Other Notifiable Offences,1256
2016,4,01/04/2016,Criminal Damage,5224
2016,4,01/04/2016,Other Notifiable Offences,1302
2016,4,01/04/2016,Drugs,3389
2016,4,01/04/2016,Violence Against the Person,18668
2016,4,01/04/2016,Theft and Handling,23149
2016,4,01/04/2016,Burglary,5335
2016,4,01/04/2016,Robbery,1570
2016,5,01/05/2016,Criminal Damage,5967
2016,5,01/05/2016,Drugs,3276
2016,5,01/05/2016,Theft and Handling,25374
2016,5,01/05/2016,Robbery,1787
2016,5,01/05/2016,Violence Against the Person,20639
2016,5,01/05/2016,Other Notifiable Offences,1543
2016,5,01/05/2016,Burglary,5404
2016,6,01/06/2016,Burglary,5381
2016,6,01/06/2016,Drugs,3041
2016,6,01/06/2016,Theft and Handling,24722
2016,6,01/06/2016,Robbery,1885
2016,6,01/06/2016,Violence Against the Person,20463
2016,6,01/06/2016,Other Notifiable Offences,1432
2016,6,01/06/2016,Criminal Damage,5338
2016,7,01/07/2016,Burglary,5387
