year,month,avg_temp,avg_dewp,avg_slp,avg_visib,avg_wdsp,avg_mxpsd,avg_gust,avg_max_temp,avg_min_temp,avg_prcp,avg_sndp,fog_days
2014,1,44.593548387096774,40.448387096774191,9999.9,5.9741935483870972,9.3677419354838722,16.232258064516131,466.09677419354841,50.074193548387093,38.551612903225809,0.18806451612903227,999.9,5
2014,2,45.417857142857144,38.946428571428569,9999.9,6.5428571428571427,12.246428571428572,20.125,308.46071428571429,51.110714285714295,39.592857142857142,0.14464285714285716,999.9,1
2014,3,48.1225806451613,39.5,9999.9,37.709677419354833,7.6516129032258062,13.958064516129031,716.60645161290324,57.522580645161284,39.906451612903226,0.040967741935483873,999.9,7
2014,4,52.87,43.993333333333325,9999.9,5.8133333333333335,7.2633333333333336,12.493333333333334,804.81666666666661,61.073333333333331,44.896666666666668,0.07400000000000001,999.9,4
2014,5,56.645161290322577,46.748387096774195,9999.9,38.387096774193552,7.8322580645161288,13.135483870967743,591.48709677419356,64.390322580645162,48.816129032258068,0.11193548387096774,999.9,0
2014,6,62.913333333333327,50.29,9999.9,106.07333333333334,6.29,11.596666666666666,674.40000000000009,71.983333333333334,53.97,0.053333333333333337,999.9,1
2014,7,67.725806451612911,55.20967741935484,9709.9838709677424,70.883870967741927,6.6612903225806459,12.241935483870968,684.39354838709676,78.038709677419362,58.63548387096774,0.063870967741935486,999.9,0
2014,8,61.929032258064517,52.00322580645161,9999.9,6.8290322580645162,8.387096774193548,14.322580645161292,685.46451612903229,71.08709677419354,53.816129032258061,0.11225806451612902,999.9,1
2014,9,61.946666666666665,54.089999999999996,9999.9,5.0733333333333333,5.1400000000000006,9.1,934.44333333333327,70.683333333333323,54.129999999999995,0.014,999.9,2
2014,10,56.887096774193544,51.380645161290325,9999.9,6.0354838709677416,8.006451612903227,13.767741935483871,558.94193548387091,63.554838709677419,50.567741935483873,0.097419354838709671,999.9,4
2014,11,49.38666666666667,45.8,9999.9,5.01,6.370000000000001,11.086666666666666,837.12333333333333,54.633333333333326,43.323333333333331,0.16799999999999998,999.9,6
