date,year,mo,da,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog
2015-04-15,2015,04,15,61.9,43.1,9999.9,999.9,5.8,12.0,999.9,76.3,47.7,0.01,999.9,0
2015-06-16,2015,06,16,62.3,46.2,9999.9,8.9,5.9,12.0,14.0,76.1,48.2,0.0,999.9,0
2015-08-12,2015,08,12,65.4,54.6,9999.9,6.2,7.2,12.0,999.9,74.1,59.0,0.06,999.9,0
2015-09-27,2015,09,27,55.6,46.7,9999.9,6.5,5.8,12.0,999.9,66.7,46.0,0.01,999.9,0
2015-10-03,2015,10,03,53.3,47.8,9999.9,3.5,4.0,7.0,999.9,62.1,46.4,0.0,999.9,0
2015-05-29,2015,05,29,52.1,42.0,9999.9,7.1,10.2,18.1,26.0,58.3,46.0,0.0,999.9,0
2015-01-03,2015,01,03,40.5,38.2,9999.9,5.2,5.3,9.9,999.9,43.2,35.6,0.15,999.9,0
2015-10-02,2015,10,02,55.6,47.4,9999.9,6.1,4.3,8.0,999.9,66.2,46.4,0.0,999.9,0
2015-05-13,2015,05,13,55.9,38.4,9999.9,6.2,5.3,11.1,999.9,68.2,41.0,0.01,999.9,0
2015-12-17,2015,12,17,55.6,49.6,9999.9,6.2,9.5,13.0,999.9,59.9,51.8,0.0,999.9,0
2015-12-03,2015,12,03,54.5,48.9,9999.9,6.4,12.9,21.0,32.1,55.6,52.9,0.0,999.9,0
2015-12-14,2015,12,14,47.6,44.5,9999.9,5.4,6.1,8.9,999.9,50.5,41.7,0.02,999.9,0
2015-03-17,2015,03,17,46.1,41.6,9999.9,2.2,4.4,8.9,999.9,54.9,39.2,0.05,999.9,0
2015-04-14,2015,04,14,57.1,45.3,9999.9,5.8,8.8,15.9,999.9,72.0,42.3,0.0,999.9,1
2015-03-05,2015,03,05,42.7,34.0,9999.9,6.7,7.8,13.0,20.0,54.7,31.3,0.0,999.9,0
2015-05-30,2015,05,30,54.3,40.1,9999.9,8.6,9.1,14.0,999.9,65.5,43.9,0.1,999.9,0
2015-04-10,2015,04,10,56.0,42.2,9999.9,3.3,6.4,12.0,999.9,70.3,43.2,0.0,999.9,0
2015-05-25,2015,05,25,56.4,42.6,9999.9,6.8,5.9,9.9,999.9,62.1,48.0,0.01,999.9,0
