year,month,crime_month,major_category,total_crimes,avg_temp,avg_dewp,avg_visib,avg_wdsp,avg_mxpsd,avg_gust,avg_max_temp,avg_min_temp,avg_prcp,fog_days
2014,1,2014-01-01,Burglary,7910,44.59354838709677,40.44838709677419,5.974193548387097,9.367741935483872,16.23225806451613,466.0967741935484,50.074193548387086,38.55161290322581,0.1880645161290322,5
2014,1,2014-01-01,Criminal Damage,4464,44.59354838709677,40.44838709677419,5.974193548387097,9.367741935483872,16.23225806451613,466.0967741935484,50.074193548387086,38.55161290322581,0.1880645161290322,5
2014,1,2014-01-01,Drugs,4020,44.59354838709677,40.44838709677419,5.974193548387097,9.367741935483872,16.23225806451613,466.0967741935484,50.074193548387086,38.55161290322581,0.1880645161290322,5
2014,1,2014-01-01,Other Notifiable Offences,930,44.59354838709677,40.44838709677419,5.974193548387097,9.367741935483872,16.23225806451613,466.0967741935484,50.074193548387086,38.55161290322581,0.1880645161290322,5
2014,1,2014-01-01,Robbery,2165,44.59354838709677,40.44838709677419,5.974193548387097,9.367741935483872,16.23225806451613,466.0967741935484,50.074193548387086,38.55161290322581,0.1880645161290322,5
2014,1,2014-01-01,Theft and Handling,23285,44.59354838709677,40.44838709677419,5.974193548387097,9.367741935483872,16.23225806451613,466.0967741935484,50.074193548387086,38.55161290322581,0.1880645161290322,5
2014,1,2014-01-01,Violence Against the Person,12741,44.59354838709677,40.44838709677419,5.974193548387097,9.367741935483872,16.23225806451613,466.0967741935484,50.074193548387086,38.55161290322581,0.1880645161290322,5
2014,2,2014-02-01,Burglary,6767,45.41785714285714,38.94642857142857,6.542857142857144,12.246428571428572,20.125,308.4607142857143,51.110714285714295,39.592857142857135,0.1446428571428571,1
2014,2,2014-02-01,Criminal Damage,4236,45.41785714285714,38.94642857142857,6.542857142857144,12.246428571428572,20.125,308.4607142857143,51.110714285714295,39.592857142857135,0.1446428571428571,1
2014,2,2014-02-01,Drugs,3644,45.41785714285714,38.94642857142857,6.542857142857144,12.246428571428572,20.125,308.4607142857143,51.110714285714295,39.592857142857135,0.1446428571428571,1
